code,name,category,quantity,reorder_level,buying_price,wholesale_price,retail_price,stock_value,potential_retail_value,unit_gross_profit,margin_pct,vat_rate,reorder_flag,negative_stock_flag,abc_class
1,18W B22 BULB AFRILIGHT LED,BULBS,0.0,0.0,90.0,100.0,150.0,0.0,0.0,60.0,40.0,16.0,True,False,C
10,INVERTER CHARGER 3KVA,BULBS,0.0,0.0,35000.0,43000.0,46000.0,0.0,0.0,11000.0,23.9,16.0,True,False,C
100,2.5MM EAST AFRICA CABLE SINGLE GREEN MTRS,CABLES,195.0,0.0,50.0,70.0,100.0,9750.0,19500.0,50.0,50.0,16.0,False,False,C
1000,600W INVERTER SOLARMAX MODIFIED,ELECTRICALS,25.0,0.0,1750.0,2500.0,3000.0,43750.0,75000.0,1250.0,41.7,16.0,False,False,B
10000,EXHAUST FAN WITH MESH MODI 12INCH,ELECTRICALS,99.0,0.0,2900.0,3500.0,4000.0,287100.0,396000.0,1100.0,27.5,16.0,False,False,A
1001,20W E27 TRONIC BULB WHITE 2027,BULBS,8.0,0.0,144.0,200.0,280.0,1152.0,2240.0,136.0,48.6,16.0,False,False,C
1002,25MM SINGLE CORE BLACK METRES,ELECTRICALS,90.0,0.0,450.0,550.0,650.0,40500.0,58500.0,200.0,30.8,16.0,False,False,B
1003,2000W ANDLIGHT INVERTER,ELECTRICALS,2.0,0.0,8500.0,11000.0,13000.0,17000.0,26000.0,4500.0,34.6,16.0,False,False,C
1004,12V 150AH NIPPOTEC SOLAR BATTERY,ELECTRICALS,0.0,0.0,10.0,18000.0,18000.0,0.0,0.0,17990.0,99.9,16.0,True,False,C
1005,12V 150AH WENDA SOLAR BATTERY,ELECTRICALS,0.0,0.0,10.0,15000.0,17000.0,0.0,0.0,16990.0,99.9,16.0,True,False,C
1006,ST POWER 40AH,ELECTRICALS,5.0,0.0,10.0,4500.0,4500.0,50.0,22500.0,4490.0,99.8,16.0,False,False,C
1007,55AH SOLARPEX,ELECTRICALS,0.0,0.0,5000.0,6000.0,6500.0,0.0,0.0,1500.0,23.1,16.0,True,False,C
1008,WENDA SOLAR 12V 40AH,ELECTRICALS,9.0,0.0,3700.0,4300.0,5000.0,33300.0,45000.0,1300.0,26.0,16.0,False,False,C
1009,12V 26AH WENDA SOLAR BATTERY,ELECTRICALS,5.0,0.0,2500.0,3000.0,3500.0,12500.0,17500.0,1000.0,28.6,16.0,False,False,C
101,ROTATING CAMERA BULB,BULBS,0.0,0.0,2500.0,2800.0,3000.0,0.0,0.0,500.0,16.7,16.0,True,False,C
1010,12V 26AH SUNNYPEX SOLAR BATTERY,ELECTRICALS,1.0,0.0,2700.0,3500.0,4000.0,2700.0,4000.0,1300.0,32.5,16.0,False,False,C
1011,12V 100AH STARMAX SOLAR BATTERY,ELECTRICALS,6.0,0.0,7400.0,9500.0,10000.0,44400.0,60000.0,2600.0,26.0,16.0,False,False,B
1012,80AH SUNNYPEX BATTERY,ELECTRICALS,1.0,0.0,6000.0,7500.0,8500.0,6000.0,8500.0,2500.0,29.4,16.0,False,False,C
1013,ST POWER 50AH,ELECTRICALS,1000.0,0.0,10.0,6500.0,6500.0,10000.0,6500000.0,6490.0,99.8,16.0,False,False,C
1014,ST POWER 70AH,ELECTRICALS,1000.0,0.0,10.0,7000.0,7500.0,10000.0,7500000.0,7490.0,99.9,16.0,False,False,C
1015,12V 200AH RITAR CHLORIDE,ELECTRICALS,3.0,0.0,29000.0,34000.0,36000.0,87000.0,108000.0,7000.0,19.4,16.0,False,False,B
1016,200AH 12V SOLARPEX BATTERY,ELECTRICALS,3.0,0.0,25000.0,29500.0,32000.0,75000.0,96000.0,7000.0,21.9,16.0,False,False,B
1017,4.5AH BATTERY JACOBS,ELECTRICALS,-3.0,0.0,280.0,350.0,400.0,-840.0,0.0,120.0,30.0,16.0,True,True,C
1018,80AH SOLARMAX BATTERY,ELECTRICALS,5.0,0.0,7600.0,8800.0,10000.0,38000.0,50000.0,2400.0,24.0,16.0,False,False,B
1019,FILAMENT BULB 40-8008 NEELUX,ELECTRICALS,946.0,0.0,300.0,400.0,500.0,283800.0,473000.0,200.0,40.0,16.0,False,False,A
102,HALFMOON VELLMAX,BULBS,678.0,0.0,350.0,400.0,500.0,237300.0,339000.0,150.0,30.0,16.0,False,False,A
